name,ppm,start,end,couple_code,j_constant,rel_intensity,enabled,note
TSP,0,-0.05,0.05,0,0,9,Y,
Acetate_1.9,1.932,1.92,1.95,0,0,3,Y,
Alanine_1.5,1.495,1.45,1.54,1,7.21,3,Y,
Alanine_3.8,3.803,3.79,3.815,3,7.3,1,N,
Citrate_2.6,2.558,2.53,2.59,1,15.1,2,N,
Citrate_2.7,2.675,2.65,2.7,1,15.08,2,Y,
Glucose_3.6,3.558,3.535,3.58,"1,1","9.91, 3.83",1,N,
Glucose_5.3,5.256,5.24,5.275,1,3.89,0.66,Y,
Glutamine_3.8,3.78,3.75,3.81,2,6.18,1,Y,
Glycine_3.6,3.577,3.56,3.59,0,0,2,Y,
Histidine_3.1,3.13,3.09,3.17,"1,1","7.87, 7.70",1,N,
Histidine_4.0,3.985,3.95,4.01,"1,1","4.94, 3.19",1,N,
Histidine_7.1,7.08,7.05,7.125,0,0,1,Y,
Histidine_7.8,7.785,7.76,7.875,0,0,1,N,
Isoleucine_0.9,0.953,0.925,0.98,2,7.5,3,N,
Isoleucine_1.0,1.024,1,1.05,1,7.02,3,Y,
Isoleucine_3.7,3.685,3.665,3.695,1,4.19,1,N,
Lactate_1.3,1.343,1.33,1.36,1,6.8,3,Y,
Lactate_4.1,4.126,4.1,4.15,3,6.7,1,N,
Leucine_1.0,0.976,0.95,1,2,6.3,6,Y,
Lysine_3.0,3.049,3.02,3.08,2,7.75,2,Y,
Lysine_3.8,3.766,3.74,3.78,2,6.3,1,N,
Threonine_1.3,1.343,1.325,1.36,1,6.5,3,N,
Threonine_3.6,3.597,3.57,3.6,1,4.85,1,N,
TMAO_3.3,3.278,3.26,3.295,0,0,9,Y,
Tyrosine_3.1,3.063,3.025,3.095,"1,1","8.05, 6.94",1,N,
Tyrosine_6.9,6.917,6.89,6.95,1,8.69,2,N,
Tyrosine_7.2,7.212,7.19,7.24,1,8.58,2,Y,
Phenylalanine_3.1,3.134,3.09,3.17,"1,1","8.10, 6.56",2,N,
Phenylalanine_4.0,4.005,3.96,4.02,"1,1","5.24, 2.54",1,N,
Phenylalanine_7.3,7.349,7.32,7.37,1,7.46,2,Y,
Valine_1.0,1.005,0.99,1.0225,1,6.99,3,N,
Valine_1.1,1.056,1.04,1.075,1,7.04,3,Y,
Valine_3.6,3.625,3.605,3.64,1,4.48,1,N,
