name,ppm,start,end,couple_code,j_constant,rel_intensity,enabled,note
TSP,0.0,-0.05,0.05,0,0,9.0,Y,
Acetate_1.9,1.932,1.92,1.95,0,0,4.6438086548,Y,
Alanine_1.5,1.495,1.45,1.54,1,7.21,5.69622215956,Y,
Alanine_3.8,3.803,3.79,3.815,3,7.3,1.0,N,
Citrate_2.6,2.558,2.53,2.59,1,15.1,2.0,N,
Citrate_2.7,2.675,2.65,2.7,1,15.08,3.80418707836,Y,
Glucose_3.6,3.558,3.535,3.58,"1,1","9.91, 3.83",1.0,N,
Glucose_5.3,5.256,5.24,5.275,1,3.89,0.825422646801,Y,
Glutamine_3.8,3.78,3.75,3.81,2,6.18,1.77478668211,Y,
Glycine_3.6,3.577,3.56,3.59,0,0,3.39270058386,Y,
Histidine_3.1,3.13,3.09,3.17,"1,1","7.87, 7.70",1.0,N,
Histidine_4.0,3.985,3.95,4.01,"1,1","4.94, 3.19",1.0,N,
Histidine_7.1,7.08,7.05,7.125,0,0,1.79361649581,Y,
Histidine_7.8,7.785,7.76,7.875,0,0,1.0,N,
Isoleucine_0.9,0.953,0.925,0.98,2,7.5,3.0,N,
Isoleucine_1.0,1.024,1.0,1.05,1,7.02,6.0884005895,Y,
Isoleucine_3.7,3.685,3.665,3.695,1,4.19,1.0,N,
Lactate_1.3,1.343,1.33,1.36,1,6.8,4.16633101677,Y,
Lactate_4.1,4.126,4.1,4.15,3,6.7,1.0,N,
Leucine_1.0,0.976,0.95,1.0,2,6.3,11.5592754119,Y,
Lysine_3.0,3.049,3.02,3.08,2,7.75,3.30717931823,Y,
Lysine_3.8,3.766,3.74,3.78,2,6.3,1.0,N,
Threonine_1.3,1.343,1.325,1.36,1,6.5,3.0,N,
Threonine_3.6,3.597,3.57,3.6,1,4.85,1.0,N,
TMAO_3.3,3.278,3.26,3.295,0,0,16.4234137681,Y,
Tyrosine_3.1,3.063,3.025,3.095,"1,1","8.05, 6.94",1.0,N,
Tyrosine_6.9,6.917,6.89,6.95,1,8.69,2.0,N,
Tyrosine_7.2,7.212,7.19,7.24,1,8.58,1.19685517962,Y,
Phenylalanine_3.1,3.134,3.09,3.17,"1,1","8.10, 6.56",2.0,N,
Phenylalanine_4.0,4.005,3.96,4.02,"1,1","5.24, 2.54",1.0,N,
Phenylalanine_7.3,7.349,7.32,7.37,1,7.46,3.28539032205,Y,
Valine_1.0,1.005,0.99,1.0225,1,6.99,3.0,N,
Valine_1.1,1.056,1.04,1.075,1,7.04,5.70713231051,Y,
Valine_3.6,3.625,3.605,3.64,1,4.48,1.0,N,
